gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0.00,1.00,순위
다사7454,0,12,0,1,11,14,1,21,385,13994,0.61,0.39,172
다사5333,0,17,0,0,21,20,1,14,466,14089,0.61,0.39,173
다사5717,1,13,0,0,29,24,0,36,817,27161,0.61,0.39,174
다바6288,1,7,0,0,9,14,0,6,98,4296,0.62,0.38,175
다사5480,0,6,0,1,9,24,0,9,236,5961,0.62,0.38,176
다사7251,0,22,0,0,26,11,0,21,1367,27431,0.62,0.38,177
다사6929,0,7,0,0,4,13,0,4,255,6823,0.62,0.38,178
다사3842,0,12,0,0,15,38,0,29,1049,29851,0.62,0.38,179
다사3327,0,7,0,0,47,19,0,20,306,11734,0.62,0.38,180
다사4159,1,22,0,1,17,21,1,17,586,15897,0.62,0.38,181
다사4929,1,31,0,0,12,31,0,26,1085,26909,0.62,0.38,182
다사3566,0,14,0,1,16,32,0,47,1140,28839,0.62,0.38,183
다사6213,1,11,0,0,14,9,0,1,11,1692,0.63,0.37,184
다사7465,0,4,0,1,8,10,0,8,246,9522,0.63,0.37,185
다사3545,0,15,0,0,20,30,3,33,1370,32533,0.63,0.37,186
다바7589,0,1,0,1,23,11,0,2,45,3267,0.63,0.37,187
다사5919,0,26,0,0,27,17,0,40,896,29030,0.63,0.37,188
다사6881,0,5,0,1,8,17,0,19,417,10998,0.63,0.37,189
다사5028,0,9,0,1,16,29,0,15,721,22033,0.63,0.37,190
다바6588,0,9,1,0,15,27,0,21,591,17274,0.64,0.36,191
다사2827,0,1,0,0,21,15,0,7,206,7043,0.64,0.36,192
다사7415,1,13,0,1,22,30,1,7,394,11751,0.64,0.36,193
다사5816,0,9,0,0,17,16,0,29,1256,28286,0.64,0.36,194
다사3725,0,13,0,1,16,17,1,21,169,6396,0.65,0.35,195
다사7761,0,12,0,1,16,20,1,22,367,11040,0.65,0.35,196
다사6956,0,13,0,0,19,17,1,18,891,25437,0.65,0.35,197
다사5520,0,18,0,1,13,22,0,27,871,22155,0.65,0.35,198
다사6121,0,7,0,0,8,14,0,9,620,11674,0.65,0.35,199
다사6740,1,3,0,0,13,15,0,3,339,6419,0.65,0.35,200
다바6096,0,8,0,0,22,18,0,14,354,15071,0.66,0.34,201
다사4928,0,9,1,0,11,27,2,36,1187,27779,0.66,0.34,202
다사6958,1,15,0,0,14,10,0,1,1694,19460,0.66,0.34,203
다사4932,1,15,0,3,29,34,1,16,1219,26979,0.66,0.34,204
다사4422,0,4,0,0,14,12,0,14,251,12412,0.66,0.34,205
다사3926,0,10,0,0,11,24,0,32,729,24280,0.66,0.34,206
다사7269,0,5,0,0,6,14,0,6,247,6272,0.66,0.34,207
다사6838,1,33,0,5,39,19,0,34,727,31776,0.66,0.34,208
다사6836,0,4,0,1,9,10,0,8,303,8749,0.67,0.33,209
다사6837,0,11,0,2,22,29,1,16,569,21317,0.67,0.33,210
다사6841,0,10,0,0,10,16,0,17,1131,19573,0.67,0.33,211
다사6211,0,5,0,0,17,7,0,4,261,7749,0.67,0.33,212
다사6189,0,4,0,0,8,26,0,9,203,7006,0.67,0.33,213
다사4057,0,4,0,0,3,12,1,4,318,9078,0.67,0.33,214
다사3543,0,9,0,0,24,25,2,31,1415,34493,0.67,0.33,215
다사4540,1,21,0,0,8,15,0,27,978,23653,0.67,0.33,216
다사5820,1,9,0,1,19,31,0,25,663,22065,0.67,0.33,217
다사3058,0,3,0,0,12,30,3,12,309,12740,0.67,0.33,218
다사6955,0,2,0,0,3,19,0,16,368,10740,0.67,0.33,219
다사6630,0,12,0,1,5,26,0,11,779,24358,0.67,0.33,220
다사6528,0,14,0,1,21,17,2,26,1126,27898,0.67,0.33,221
다사7214,0,5,1,0,13,7,0,4,266,6010,0.68,0.32,222
다사5019,0,9,0,0,17,15,0,31,1369,23241,0.68,0.32,223
다사6071,0,36,0,1,43,40,2,16,371,18059,0.68,0.32,224
다사3444,1,9,0,0,13,32,0,33,1113,28800,0.68,0.32,225
다사3564,0,11,0,0,14,14,0,26,718,29069,0.68,0.32,226
다사7414,1,4,0,0,9,20,0,4,163,5869,0.68,0.32,227
다사5815,0,3,0,0,13,2,0,11,354,10091,0.68,0.32,228
다사3263,0,2,0,1,5,21,0,12,353,11211,0.68,0.32,229
다바6289,0,2,0,0,8,27,0,20,364,11768,0.68,0.32,230
다사4058,0,11,0,1,23,16,0,24,625,25232,0.69,0.31,231
다사2065,0,5,0,0,6,10,0,5,227,5356,0.69,0.31,232
다사6525,0,13,0,0,9,26,1,20,887,18850,0.69,0.31,233
다사6332,0,6,0,0,8,14,0,9,500,9401,0.70,0.30,234
다사5922,0,2,0,0,15,22,0,3,323,4235,0.70,0.30,235
다사5027,0,9,0,0,13,28,0,26,1080,27933,0.70,0.30,236
다사5821,0,7,0,1,13,15,0,16,313,13878,0.70,0.30,237
다사6861,0,13,0,1,11,20,1,20,418,16733,0.70,0.30,238
다사6070,0,5,0,1,23,14,1,10,346,16787,0.71,0.29,239
