gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다바7589,0,1,0,1,23,11,0,2,45,3267,0.63,0.37,134
다사5919,0,26,0,0,27,17,0,40,896,29030,0.63,0.37,135
다사6881,0,5,0,1,8,17,0,19,417,10998,0.63,0.37,136
다사5028,0,9,0,1,16,29,0,15,721,22033,0.63,0.37,137
다바6588,0,9,1,0,15,27,0,21,591,17274,0.64,0.36,138
다사2827,0,1,0,0,21,15,0,7,206,7043,0.64,0.36,139
다사5816,0,9,0,0,17,16,0,29,1256,28286,0.64,0.36,140
다사3725,0,13,0,1,16,17,1,21,169,6396,0.65,0.35,141
다사7761,0,12,0,1,16,20,1,22,367,11040,0.65,0.35,142
다사6956,0,13,0,0,19,17,1,18,891,25437,0.65,0.35,143
다사5520,0,18,0,1,13,22,0,27,871,22155,0.65,0.35,144
다사6121,0,7,0,0,8,14,0,9,620,11674,0.65,0.35,145
다바6096,0,8,0,0,22,18,0,14,354,15071,0.66,0.34,146
다사4928,0,9,1,0,11,27,2,36,1187,27779,0.66,0.34,147
다사4422,0,4,0,0,14,12,0,14,251,12412,0.66,0.34,148
다사3926,0,10,0,0,11,24,0,32,729,24280,0.66,0.34,149
다사7269,0,5,0,0,6,14,0,6,247,6272,0.66,0.34,150
다사6836,0,4,0,1,9,10,0,8,303,8749,0.67,0.33,151
다사6837,0,11,0,2,22,29,1,16,569,21317,0.67,0.33,152
다사6841,0,10,0,0,10,16,0,17,1131,19573,0.67,0.33,153
다사6211,0,5,0,0,17,7,0,4,261,7749,0.67,0.33,154
다사6189,0,4,0,0,8,26,0,9,203,7006,0.67,0.33,155
다사4057,0,4,0,0,3,12,1,4,318,9078,0.67,0.33,156
다사3543,0,9,0,0,24,25,2,31,1415,34493,0.67,0.33,157
다사3058,0,3,0,0,12,30,3,12,309,12740,0.67,0.33,158
다사6955,0,2,0,0,3,19,0,16,368,10740,0.67,0.33,159
다사6630,0,12,0,1,5,26,0,11,779,24358,0.67,0.33,160
다사6528,0,14,0,1,21,17,2,26,1126,27898,0.67,0.33,161
다사7214,0,5,1,0,13,7,0,4,266,6010,0.68,0.32,162
다사5019,0,9,0,0,17,15,0,31,1369,23241,0.68,0.32,163
다사6071,0,36,0,1,43,40,2,16,371,18059,0.68,0.32,164
다사3564,0,11,0,0,14,14,0,26,718,29069,0.68,0.32,165
