gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,격자_유아인구수_val,격자_총인구수_val
다사4854,1.000000000000000,0.000000000000000,"1",20.000000000000000,0.000000000000000,1.000000000000000,25.000000000000000,39.000000000000000,1.000000000000000,11.000000000000000,815.0000000000000000000000000000000,30062.0000000000000000000000000000000
다사4553,0.000000000000000,0.000000000000000,"0",1.000000000000000,0.000000000000000,0.000000000000000,7.000000000000000,34.000000000000000,0.000000000000000,10.000000000000000,340.0000000000000000000000000000000,10935.0000000000000000000000000000000
다사6646,0.000000000000000,0.000000000000000,"0",2.000000000000000,0.000000000000000,0.000000000000000,8.000000000000000,7.000000000000000,1.000000000000000,2.000000000000000,220.0000000000000000000000000000000,6606.0000000000000000000000000000000
다사5962,0.000000000000000,0.000000000000000,"0",17.000000000000000,1.000000000000000,2.000000000000000,20.000000000000000,28.000000000000000,1.000000000000000,16.000000000000000,895.0000000000000000000000000000000,33099.0000000000000000000000000000000
다사5162,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.0000000000000000000000000000000,67.0000000000000000000000000000000
다사6449,0.000000000000000,0.000000000000000,"0",11.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,20.000000000000000,1.000000000000000,13.000000000000000,886.0000000000000000000000000000000,27226.0000000000000000000000000000000
다사5356,0.000000000000000,0.000000000000000,"0",1.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,10.000000000000000,0.000000000000000,2.000000000000000,161.0000000000000000000000000000000,5582.0000000000000000000000000000000
다사5051,0.000000000000000,1.000000000000000,"1",16.000000000000000,0.000000000000000,1.000000000000000,32.000000000000000,18.000000000000000,1.000000000000000,3.000000000000000,18.0000000000000000000000000000000,6521.0000000000000000000000000000000
다사4346,0.000000000000000,0.000000000000000,"0",9.000000000000000,0.000000000000000,1.000000000000000,14.000000000000000,25.000000000000000,1.000000000000000,19.000000000000000,1034.0000000000000000000000000000000,30356.0000000000000000000000000000000
다사4738,0.000000000000000,0.000000000000000,"0",6.000000000000000,0.000000000000000,0.000000000000000,12.000000000000000,24.000000000000000,0.000000000000000,13.000000000000000,443.0000000000000000000000000000000,15846.0000000000000000000000000000000
다사5451,0.000000000000000,1.000000000000000,"1",30.000000000000000,0.000000000000000,1.000000000000000,33.000000000000000,30.000000000000000,3.000000000000000,8.000000000000000,126.0000000000000000000000000000000,5157.0000000000000000000000000000000
다사6063,0.000000000000000,0.000000000000000,"0",17.000000000000000,0.000000000000000,0.000000000000000,13.000000000000000,23.000000000000000,1.000000000000000,30.000000000000000,1685.0000000000000000000000000000000,32594.0000000000000000000000000000000
다사6044,0.000000000000000,0.000000000000000,"0",22.000000000000000,0.000000000000000,0.000000000000000,36.000000000000000,23.000000000000000,1.000000000000000,14.000000000000000,967.0000000000000000000000000000000,38148.0000000000000000000000000000000
다사6263,0.000000000000000,0.000000000000000,"0",5.000000000000000,0.000000000000000,1.000000000000000,7.000000000000000,9.000000000000000,1.000000000000000,3.000000000000000,208.0000000000000000000000000000000,11106.0000000000000000000000000000000
