gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사9833,0,0,0,0,0,0,0,2,0,0,0,53
다아6403,0,0,0,0,0,0,0,4,0,0,0,28
다사5402,0,0,0,1,0,0,5,6,0,0,10,293
다사9607,0,0,0,0,0,0,0,4,0,0,0,106
다사3229,0,0,0,0,0,0,4,11,2,11,341,10937
다사8139,0,0,0,0,0,0,0,0,0,0,0,10
다바6596,0,0,0,0,0,0,0,0,0,0,0,32
다사5378,0,0,0,1,0,0,1,12,0,0,0,137
다사6427,0,0,0,0,0,0,1,14,0,5,429,6496
다사7761,0,0,0,12,0,1,16,20,1,22,367,11040
다사7019,0,0,0,0,0,0,0,0,0,1,24,515
다사7895,0,0,0,0,0,0,0,2,0,0,0,21
다사7225,0,0,0,0,0,0,0,0,0,0,0,73
다사8836,0,0,0,0,0,0,0,6,0,0,0,48
다사5005,0,0,0,0,0,0,0,2,0,0,0,201
라사0259,0,0,0,0,0,0,0,0,0,0,0,0
다사6573,0,0,0,0,0,0,0,4,0,1,75,863
라사0255,0,0,0,0,0,0,0,1,0,0,0,51
라사0018,0,0,0,0,0,0,0,0,0,0,0,107
다아6917,0,0,0,0,0,0,0,1,0,0,0,30
라사1305,0,0,0,0,0,0,0,0,0,0,0,62
다사5483,0,0,0,0,0,0,0,12,0,0,0,197
다사8403,0,0,0,0,0,0,0,0,0,0,0,0
다사1971,0,0,0,0,0,0,0,0,0,0,0,63
다사8351,0,0,0,0,0,0,0,2,0,0,0,145
다바4393,0,0,0,0,0,0,0,0,0,0,0,0
다사8900,0,0,0,0,0,0,0,4,0,0,0,179
다사2213,0,0,0,0,0,0,0,0,0,0,0,9
다사5080,0,0,0,0,0,0,0,4,0,0,0,18
라사0236,0,0,0,0,0,0,0,0,0,0,0,105
라사0258,0,0,0,0,0,0,0,0,0,0,0,31
다사5262,0,0,0,0,0,0,0,0,0,0,0,0
다아7610,0,0,0,0,0,0,0,0,0,0,0,11
다사5492,0,0,0,0,0,0,0,0,0,0,0,52
다사4327,0,0,0,0,0,0,0,0,0,0,0,146
다사3308,0,0,0,0,0,0,0,1,0,0,0,75
다사9239,0,0,0,0,0,0,0,2,0,0,0,111
다사5888,0,0,0,0,0,0,0,14,0,1,0,191
다바9297,0,0,0,1,0,0,0,12,0,3,7,810
다바6286,0,0,0,0,0,0,0,5,0,0,0,286
다사3003,0,0,0,0,0,0,0,0,0,0,0,0
다사9929,0,0,0,0,0,0,0,1,0,0,0,103
다사2871,0,0,0,0,0,0,0,3,0,2,0,158
다바4193,0,0,0,0,0,0,0,9,0,0,0,371
다사8060,0,0,0,0,0,0,0,1,0,0,0,105
다바7298,0,0,0,0,0,0,0,0,0,0,0,0
다사6732,0,0,0,0,0,0,2,18,1,4,288,5667
다사6308,0,0,0,0,0,0,2,7,0,0,0,156
다바9094,0,0,0,0,0,0,0,0,0,0,0,14
다사7666,0,0,0,0,0,0,0,2,0,0,0,63
다바3897,0,0,0,0,0,0,2,0,0,0,19,746
다바5684,0,0,0,0,0,0,0,7,0,0,0,297
라사0167,0,0,0,0,0,0,0,1,0,0,0,64
다바4594,0,0,0,0,0,0,0,0,0,0,0,77
다사7595,0,0,0,0,0,0,0,0,0,0,0,87
다바6099,0,0,0,0,0,0,0,0,0,0,0,69
다아6003,0,0,0,0,0,0,1,3,0,0,0,161
다사1767,0,0,0,0,0,0,2,10,0,0,0,421
다바4596,0,0,0,0,0,0,0,1,0,0,0,28
다사6088,0,0,0,12,1,1,19,29,1,27,677,17429
다사3704,0,0,0,0,0,0,0,0,0,0,0,0
다사4404,0,0,0,0,0,0,0,0,0,0,0,49
다사4285,0,0,0,0,0,0,0,4,0,0,0,34
라바0096,0,0,0,0,0,0,0,4,0,0,0,128
다사7511,0,0,0,0,0,0,0,0,0,0,0,59
다바4387,0,0,0,1,0,0,1,3,0,0,11,454
다사6572,0,0,0,5,0,0,6,16,0,17,1220,16590
다사4774,0,0,0,0,0,0,2,6,0,0,0,206
다사2977,0,0,0,0,0,0,1,4,0,0,0,161
다사4835,0,0,0,3,0,1,7,13,0,9,423,12364
다바4898,0,0,0,0,0,0,0,1,0,0,0,123
다사8161,0,0,0,0,0,0,2,6,0,8,411,6935
다사3010,0,0,0,0,0,0,0,4,0,0,0,102
라사1733,0,0,0,0,0,0,0,2,0,0,0,72
다사5032,0,0,0,0,0,0,15,29,0,13,926,15294
다사7142,0,0,0,0,0,0,0,0,0,0,0,156
다사1917,0,0,0,0,0,0,0,0,0,0,0,61
라사0136,0,0,0,0,0,0,0,2,0,0,0,42
